,Dam  Name,Other Dam Name,NIDID,Inspection Date,Hazard potential,Owner Type,Owner Name,NID  Height (Ft.),NID  Storage,All  Purposes,Dam  Type,River,City,Distance,County,State,Congressional District,Congressional Rep.,Permitting Authority,Inspection Authority,Enforcement Authority,Eap  Last Rev Date
94,DOUGLAS/SADDLE DAM NO. 7,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,21.5,0.0,"Hydroelectric, Flood Control,  Navigation, Water Supply, Recreation",Earth,FRENCH BROAD RIVER,KNOXVILLE,32,SEVIER,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
95,DOUGLAS/DANDRIDGE BACKWATER DIKE,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,60.0,0.0,Flood Control,Earth,FRENCH BROAD RIVER,DANDRIDGE,.1,JEFFERSON,TN,TN02,Tim Burchett (R),N,N,N,09/01/2017
96,DOUGLAS/SADDLE DAM NO. 9,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,24.5,0.0,"Hydroelectric, Flood Control,  Navigation, Water Supply, Recreation",Earth,FRENCH BROAD RIVER,KNOXVILLE,32,SEVIER,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
97,DOUGLAS/SADDLE DAM NO. 6,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,24.5,0.0,"Hydroelectric, Flood Control,  Navigation, Water Supply, Recreation",Earth,FRENCH BROAD RIVER,KNOXVILLE,32,SEVIER,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
98,DOUGLAS/SADDLE DAM NO. 4,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,31.5,0.0,"Hydroelectric, Flood Control,  Navigation, Water Supply, Recreation",Earth,FRENCH BROAD RIVER,KNOXVILLE,32,SEVIER,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
99,DOUGLAS/SADDLE DAM NO. 2,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,21.5,0.0,"Hydroelectric, Flood Control,  Navigation, Water Supply, Recreation",Earth,FRENCH BROAD RIVER,KNOXVILLE,32,SEVIER,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
100,DOUGLAS/SADDLE DAM NO. 1,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,100.5,0.0,"Hydroelectric, Flood Control,  Navigation, Water Supply, Recreation",Earth,FRENCH BROAD RIVER,KNOXVILLE,32,SEVIER,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
101,DOUGLAS/SADDLE DAM NO. 3,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,38.5,0.0,"Hydroelectric, Flood Control,  Navigation, Water Supply, Recreation",Earth,FRENCH BROAD RIVER,KNOXVILLE,32,SEVIER,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
102,DOUGLAS/SADDLE DAM NO. 5,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,31.5,0.0,"Hydroelectric, Flood Control,  Navigation, Water Supply, Recreation",Earth,FRENCH BROAD RIVER,KNOXVILLE,32,SEVIER,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
103,DOUGLAS/SADDLE DAM NO. 10,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,24.5,0.0,"Hydroelectric, Flood Control,  Navigation, Water Supply, Recreation",Earth,FRENCH BROAD RIVER,KNOXVILLE,32,SEVIER,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
104,DOUGLAS/SADDLE DAM NO. 8,DOUGLAS LAKE,TN15501,8/18/2017,High,Federal,TVA,24.5,0.0,"Hydroelectric, Flood Control,  Navigation, Water Supply, Recreation",Earth,FRENCH BROAD RIVER,KNOXVILLE,32,SEVIER,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
105,ALLEN FOSSIL PLANT - ASH DISPOSAL AREA  PERIMETER DIKE (EAST),ACTIVE ASH POND; EAST ASH POND,TN15801,11/30/2017,Significant,Federal,TVA,22.9,353.0,Other,Earth,TENNESSEE RIVER - OFFSTREAM,MEMPHIS,8,SHELBY,TN,TN09,Steve Cohen (D),N,N,N,04/17/2017
106,CUMBERLAND FOSSIL PLANT - ASH POND (COMPLEX),GYPSUM STORAGE AREA; DRY ASH  STACK; STILLING POND (INCLUDING RETENTION POND),TN16109,9/20/2017,Significant,Federal,TVA,49.18,1130.0,Other,Earth,CUMBERLAND RIVER - OFFSTREAM,CUMBERLAND CITY,1,STEWART,TN,TN07,Mark E. Green (R),N,N,N,04/17/2017
107,SOUTH HOLSTON,SOUTH HOLSTON LAKE,TN16305,4/30/2018,High,Federal,TVA,285.0,890367.0,"Hydroelectric, Flood Control, Water  Supply, Recreation",-,SOUTH FORK HOLSTON RIVER,BLUFF CITY,15,SULLIVAN,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
108,SOUTH HOLSTON/BENT BRANCH AUXILIARY SPILLWAY,BENT BRANCH AUXILIARY SPILLWAY,TN16305,4/30/2018,High,Federal,TVA,9.0,0.0,Flood Control,Concrete,SOUTH FORK HOLSTON RIVER,BLUFF CITY,15,SULLIVAN,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
109,SOUTH HOLSTON/SADDLE DAM NO. 1,SOUTH HOLSTON LAKE,TN16305,4/30/2018,High,Federal,TVA,40.0,0.0,Flood Control,Earth,SOUTH FORK HOLSTON RIVER,BLUFF CITY,15,SULLIVAN,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
110,BOONE,BOONE LAKE,TN16306,5/24/2017,High,Federal,TVA,160.0,216147.0,"Hydroelectric, Flood Control, Water  Supply, Recreation",-,SOUTH FORK HOLSTON RIVER,KINGSPORT,10,SULLIVAN; WASHINGTON,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
111,FORT PATRICK HENRY,FORT PATRICK HENRY LAKE,TN16307,8/30/2017,High,Federal,TVA,95.0,31728.0,"Hydroelectric, Flood Control, Water  Supply, Recreation",-,SOUTH FORK HOLSTON RIVER,KINGSPORT,2,SULLIVAN,TN,TN01,David P. Roe (R),N,N,N,09/01/2017
112,GALLATIN FOSSIL PLANT - ASH DISPOSAL AREA  POND D,ASH DISPOSAL AREA POND D;  STILLING POND D,TN16521,11/15/2017,Significant,Federal,TVA,12.4,550.0,Other,Earth,CUMBERLAND RIVER - OFFSTREAM,GALLATIN,5,SUMNER,TN,TN06,John W. Rose (R),N,N,N,11/14/2017
113,GALLATIN FOSSIL PLANT - ASH DISPOSAL AREA  PERIMETER DIKE (POND E),FLY ASH POND E,TN16524,11/15/2017,Significant,Federal,TVA,24.16,3800.0,Other,Earth,CUMBERLAND RIVER - OFFSTREAM,GALLATIN,5,SUMNER,TN,TN06,John W. Rose (R),N,N,N,11/14/2017
114,GALLATIN FOSSIL PLANT - ACTIVE ASH POND A,BOTTOM ASH POND A; BOTTOM ASH  POND; MIDDLE POND A,TN16525,11/15/2017,Significant,Federal,TVA,17.1,1400.0,Other,Earth,CUMBERLAND RIVER - OFFSTREAM,GALLATIN,5,SUMNER,TN,TN06,John W. Rose (R),N,N,N,11/14/2017
115,GREAT FALLS,GREAT FALLS LAKE,TN17704,12/13/2017,High,Federal,TVA,92.0,64800.0,Hydroelectric,-,CANEY FORK RIVER,CARTHAGE,92,WARREN; WHITE,TN,TN06,John W. Rose (R),N,N,N,09/01/2017
116,BEAVER CREEK,-,VA191001,2/13/2018,High,Federal,TVA,85.0,6920.0,Flood Control,Earth,BEAVER CREEK,BRISTOL,5,WASHINGTON,VA,VA09,H. Morgan Griffith (R),N,N,N,09/01/2017
117,CLEAR CREEK,CLEAR CREEK LAKE,VA191002,2/13/2018,High,Federal,TVA,51.0,4660.0,"Flood Control, Recreation",Earth,CLEAR CREEK,BRISTOL,7,WASHINGTON,VA,VA09,H. Morgan Griffith (R),N,N,N,09/01/2017
