,site_name_act,site_name,rts,rel_inf_corr,max_sto,group,lat,long,geometry,dist,nid_idx,Dam_Name,Other_Dam_Name,State_ID,NID_ID,Num_Separate_Struct,Other_Structure_ID,Longitude,Latitude,Section,County,River,Owner_Name,Owner_Type,Private_Dam,Dam_Designer,Dam_Type,Core,Foundation,Primary_Purpose,All_Purposes,Year_Completed,Year_Modified,Dam_Length,Dam_Height,Structural_Height,Hydraulic_Height,NID_Height,Max_Discharge,Max_Storage,Normal_Storage,NID_Storage,Surface_Area,Drainage_Area,EAP,Inspection_Date,Inspection_Frequency,Spillway_Type,Spillway_Width,Outlet_Gates,Volume,Num_Locks,Length_Locks,Width_Locks,Permitting_Authority,Inspection_Authority,Enforcement_Authority,Jurisdictional_Dam,State_Reg_Dam,State_Reg_Agency,Fed_Funding,Fed_Design,Fed_Construction,Fed_Regulatory,Fed_Inspection,Fed_Operation,Fed_Owner,Fed_Other,Source_Agency,State,Submit_Date,Url_Address,Congress_Rep,Political_Party,Congress_District
10,Fort Peck,FortPeck,1575.5426278770688,0.3437721536853643,19300.2,high_rt,48.001098,-106.414583,POINT (-106.414583 48.001098),0.0023848046041659104,25068.0,FORT PECK DAM,FORT PECK LAKE,6230,MT00025,0.0,,-106.4167,48.0,,MCCONE,MISSOURI RIVER,CENWO,Federal,N,CENWO,Earth,I,R,Flood Control,"Irrigation, Hydroelectric, Flood Control, Navigation, Recreation",1957.0,,21026.0,,256.0,220.0,256.0,250000.0,19100000.0,15400000.0,19100000.0,93000.0,57725.0,Y,8/10/2009,5.0,C,640.0,Vertical Lift,125628000.0,,0.0,,N,N,N,N,N,,CE,CE,CE,CE,CE,CE,CE,CE,CE,MT,02\27\2013,,Steve Daines (R),R,MT00
11,Fort Randall,FortRandall,130.19320974432318,0.726135334125754,5315.0,high_rt,43.066722,-98.554897,POINT (-98.554897 43.066722),0.0018249090388267294,22521.0,FORT RANDALL DAM,LAKE FRANCIS CASE,6270,SD01093,0.0,,-98.555,43.0649,,CHARLES MIX,MISSOURI RIVER,CENWO,Federal,N,CENWO,Earth,I,R,Flood Control,"Irrigation, Hydroelectric, Flood Control, Navigation, Recreation",1954.0,,10700.0,,170.0,160.0,170.0,629000.0,6300000.0,3800000.0,6300000.0,118400.0,14150.0,Y,8/6/2007,5.0,C,1000.0,Vertical Lift,50200000.0,,0.0,,Y,Y,Y,Y,Y,,CE,CE,CE,CE,CE,CE,CE,CE,CE,SD,02\27\2013,,Kristi L. Noem (R),R,SD00
12,Glendo,GLER,209.37085283654363,0.6693526371921188,717.125,high_rt,42.48023,-104.953299,POINT (-104.953299 42.48023),0.01911448929477385,26950.0,GLENDO DIKE NO. 3,,5998R-3,WY01487,0.0,,-104.9667,42.4666,"NENE 24,T29N,R68W",PLATTE,NORTH PLATTE RIVER OFFSTREAM,USBR,Federal,Y,I.J. MATTHEWS,Earth,HEK,RSK,Flood Control,"Irrigation, Flood Control",1958.0,1989,850.0,75.0,75.0,69.0,75.0,21535.0,1124000.0,523500.0,1124000.0,12365.0,14532.0,Y,8/24/2011,5.0,U,0.0,X,,,0.0,,Y,Y,Y,Y,Y,SEO,,,,,,,,,WY,WY,02\06\2013,,Cynthia M. Lummis (R),R,WY00
13,Gray Reef,GRAR,1.1829518158825938,0.9982536663885264,1.86,ror,42.5652,-106.7016,POINT (-106.7016 42.5652),0.005255473337380714,32756.0,GRAY REEF,,6489R,WY01292,0.0,,-106.6967,42.5633,"NESE 18,T30N,R82W",NATRONA,NORTH PLATE RIVER,USBR,Federal,Y,R M SENSINTAFFAR,Earth,HEK,RSZ,Irrigation,Irrigation,1961.0,,650.0,38.0,36.0,30.0,38.0,20700.0,1800.0,1798.0,1800.0,182.0,,NR,3/18/2008,5.0,C,100.0,T2,53000.0,,0.0,,Y,Y,Y,Y,Y,SEO,,,,,,,,,WY,WY,02\06\2013,,Cynthia M. Lummis (R),R,WY00
14,Garrison,Garrison,810.277811818645,0.517883881219363,29268.898,high_rt,47.50613,-101.432292,POINT (-101.432292 47.50613),0.004568518797154728,23318.0,GARRISON DAM WILLISTON LEVEE,LAKE SAKAKAWEA,6400,ND00145,0.0,S001,-101.4317,47.5016,,MCLEAN,MISSOURI RIVER,CENWO,Federal,N,,Earth,,,Flood Control,"Irrigation, Hydroelectric, Flood Control, Navigation, Recreation",1953.0,,11300.0,,210.0,180.0,210.0,827000.0,24500000.0,18500000.0,24500000.0,133000.0,180940.0,Y,5/20/2010,5.0,C,1336.0,,66500000.0,,0.0,,N,N,N,N,N,,CE,CE,CE,CE,CE,CE,CE,CE,CE,ND,02\27\2013,,Kevin Cramer (R),R,ND00
15,Gavins Point,GavinsPoint,13.81376488638432,0.9867020764394272,560.0,low_rt,42.850337,-97.483244,POINT (-97.483244 42.850337),0.0011926042931304447,21850.0,GAVINS POINT DAM,,,NE05050,0.0,,-97.4821,42.85,SWS07T33R01W,CEDAR,MISSOURI RIVER,CORPS OF ENGINEERS,Federal,N,U.S. ARMY CORPS OF ENGINEERS,Earth,IEK,SZ,Flood Control,Flood Control,1955.0,,8700.0,74.0,123.59,61.39,123.59,584000.0,988000.0,375000.0,988000.0,27600.0,279480.0,Y,9/21/2011,1.0,,0.0,,7000000.0,,0.0,,Y,Y,Y,Y,Y,NE DNR,,,,,,,,,NE,NE,09\27\2012,,Adrian Smith (R),R,NE03
16,Kortes,KORR,3.785957262651085,0.9998290152500904,5.595,ror,42.174167,-106.881111,POINT (-106.881111 42.174167),0.0003127459032613009,19912.0,KORTES,,5580R,WY01294,0.0,,-106.8808,42.1742,"SWSW 34,T26N,R84W",CARBON,NORTH PLATTE RIVER,DOI BR,Federal,N,E.B. SELBER,,HCK,RK,Hydroelectric,Hydroelectric,1950.0,,440.0,244.0,244.0,200.0,244.0,50000.0,4739.0,4739.0,4739.0,83.0,11179.0,Y,6/19/2012,1.0,U,118.0,S1;V3,147000.0,,0.0,,Y,Y,Y,N,N,,,,,,,,,,WY,WY,02\06\2013,,Cynthia M. Lummis (R),R,WY00
17,Oahe,Oahe,723.1146518664414,0.502805359315523,22968.0,high_rt,44.456316,-100.39797,POINT (-100.39797 44.456316),0.012919162356743175,42568.0,OAHE DAM FORT YATES FLOOD PROTECTION PROJECT,LAKE OAHE,12960,SD01095,0.0,S001,-100.3867,44.45,,HUGHES,MISSOURI RIVER,CENWO,Federal,N,,Earth,,,Flood Control,"Irrigation, Hydroelectric, Flood Control, Navigation, Recreation",1966.0,,9300.0,,245.0,200.0,245.0,300000.0,23600000.0,19300000.0,23600000.0,376000.0,243490.0,Y,8/13/2007,5.0,C,456.0,,92000000.0,,0.0,,N,N,N,N,N,,CE,CE,CE,CE,CE,CE,CE,CE,CE,SD,02\27\2013,,Kristi L. Noem (R),R,SD00
18,Pathfinder,PATR,436.1877039630701,0.7249635519857465,1093.275,high_rt,42.46391,-106.853706,POINT (-106.853706 42.46391),0.0014196253026812291,5185.0,PATHFINDER DIKE,,,WY01296,0.0,S001,-106.8526,42.4648,"NWSW 24,T29N,R84W",NATRONA,NORTH PLATTE RIVER,DOI BR,Federal,N,DOI BR,Earth,HEK,RSK,Hydroelectric,"Irrigation, Hydroelectric",1909.0,1961,1650.0,38.0,38.0,20.0,38.0,50310.0,1016500.0,1016500.0,1016500.0,22014.0,14600.0,Y,7/2/2012,1.0,U,583.0,U,152000.0,,0.0,,N,N,N,N,N,SEO,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,WY,03\01\2013,,Cynthia M. Lummis (R),R,WY00
19,Pactola,PTR,757.2544521907699,0.81972864039194,64.246,high_rt,44.072917,-103.490625,POINT (-103.490625 44.072917),0.00267209917480547,27942.0,PACTOLA DAM,,SD01139,SD01139,0.0,,-103.4883,44.0716,SE SW SEC.2-T1N-R5E,PENNINGTON,RAPID CREEK,DEPT. OF INTERIOR,Federal,N,,Earth,,,Flood Control,"Irrigation, Flood Control, Water Supply, Recreation",1959.0,0,2236.0,245.0,245.0,230.0,245.0,255000.0,140898.0,55965.0,140898.0,1557.0,319.0,Y,6/27/1991,0.0,,0.0,,,,0.0,,N,N,N,N,N,,,,,,,,,,SD,SD,01\08\2013,,Kristi L. Noem (R),R,SD00
20,Seminoe,SEMR,483.3434159016388,0.7290767786361892,1009.383,high_rt,42.154838,-106.906358,POINT (-106.906358 42.154838),0.0024808079329228295,13747.0,SEMINOE,,4552R,WY01297,0.0,,-106.9086,42.1559,"NWNE 8,T25N,R84W",CARBON,NORTH PLATTE RIVER,DOI BR,Federal,N,DOI BR,,HEK,RK,Hydroelectric,"Irrigation, Hydroelectric, Recreation",1938.0,,530.0,295.0,295.0,206.0,295.0,48500.0,1017279.0,1017279.0,1017279.0,20291.0,7210.0,Y,6/20/2012,1.0,C,42.0,V2;O3,210000.0,,0.0,,Y,Y,Y,Y,Y,SEO,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,WY,03\01\2013,,Cynthia M. Lummis (R),R,WY00
21,Willow Creek,WCR,1133.839759603604,0.2365890732737495,36.033,high_rt,47.549113,-112.428497,POINT (-112.428497 47.549113),0.0022604375682627087,6140.0,WILLOW CREEK (LEW & CL),WILLOW CREEK RES,,MT00577,0.0,,-112.4293,47.547,S30 21N 6W,LEWIS & CLARK,WILLOW CREEK,"U.S. D.O.I. B.R., GREAT PLAINS REGION",Federal,N,,Earth,,U,Irrigation,Irrigation,1911.0,,650.0,74.0,93.0,69.0,93.0,,39800.0,32300.0,39800.0,1530.0,95.0,Y,4/24/1992,0.0,N,0.0,,,,0.0,,N,N,N,N,N,,,,,,,,,,MT,MT,02\04\2013,,Steve Daines (R),R,MT00
22,Bonneville,BON,3.703202734252546,0.99683625510618,764.2,low_rt,45.644167,-121.940556,POINT (-121.940556 45.644167),0.007696689223296277,12744.0,BONNEVILLE LOCK AND DAM,LAKE BONNEVILLE,73459,OR00001,0.0,,-121.9333,45.6416,"S21, T2N, R7E",MULTNOMAH-SKAMANIA,COLUMBIA RIVER,CENWP,Federal,N,CENWP,Gravity,H,R,Hydroelectric,"Hydroelectric, Navigation, Recreation",1937.0,,2477.0,56.0,197.0,50.0,197.0,1600000.0,537000.0,277000.0,537000.0,20600.0,240000.0,Y,4/3/2008,5.0,C,1450.0,,1168000.0,,675.0,86.0,Y,Y,Y,Y,Y,,CE,CE,CE,CE,CE,CE,CE,CE,CE,OR,02\27\2013,,Earl Blumenauer (D),D,OR03
23,Brownlee,BRN,72.13014455693916,0.9220063573522628,1428.424,high_rt,44.836,-116.9,POINT (-116.9 44.836),0.0009999999999934061,24304.0,BROWNLEE,BROWNLEE,01971-01-01,ID00056,1.0,,-116.9006,44.8368,"T8S,R47E,S25,WM",WASHINGTON,SNAKE RIVER,IDAHO POWER COMPANY,Private,N,INTERNATIONAL ENGINEERING COMPANY,,K,K,Hydroelectric,"Hydroelectric, Flood Control, Navigation, Recreation, Fish and Wildlife Pond",1958.0,1980,1380.0,395.0,395.0,380.0,395.0,307300.0,1470000.0,1470000.0,1470000.0,14621.0,72800.0,Y,9/11/2012,1.0,C,173.0,T7;,6000000.0,,0.0,,Y,Y,Y,Y,Y,IDAHO DEPT OF WATER RESOURCES,,,,FERC,FERC,,,,FERC,ID,02\28\2013,,Greg Walden (R),R,OR02
24,Chief Joseph,CHJ,5.370151725782456,0.9955566060445652,589.2,low_rt,47.995278,-119.633333,POINT (-119.633333 47.995278),0.006763458656628343,23275.0,CHIEF JOSEPH DAM,RUFUS WOODS LAKE,DO50-0299,WA00299,0.0,,-119.6267,47.9966,S24; T29N; R25E,DOUGLAS AND OKANOGAN,COLUMBIA RIVER,CENWS,Federal,N,CE,Gravity,,,Hydroelectric,"Hydroelectric, Recreation",1955.0,,4300.0,,230.0,205.0,230.0,1200000.0,593000.0,516000.0,593000.0,8400.0,75400.0,Y,6/27/2012,5.0,C,980.0,Tainter/Radial,1805707.0,,0.0,,N,N,N,N,N,Federally Owned and Regulated,CE,CE,CE,CE,CE,CE,CE,CE,CE,WA,02\27\2013,,Doc Hastings (R),R,WA04
25,Grand Coulee,GCL,38.94238286651265,0.8223212608741653,5185.452,high_rt,47.954652,-118.98095,POINT (-118.98095 47.954652),0.0019993008778059645,14542.0,GRAND COULEE,,GT42-0262,WA00262,0.0,,-118.9805,47.9566,,"GRANT, OKANOGAN",COLUMBIA RIVER,DOI BR,Federal,N,,,A,RK,Flood Control,"Irrigation, Flood Control",1941.0,,5673.0,550.0,550.0,380.0,550.0,,9562000.0,9562000.0,9562000.0,82300.0,74100.0,Y,3/8/2011,1.0,C,0.0,,11975520.0,,0.0,,N,N,N,N,N,Federally Owned and Regulated,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,WA,03\01\2013,,Doc Hastings (R),R,WA04
26,Ice Harbor,IHR,7.725283164353118,0.9988760552421888,414.1,low_rt,46.2495803,-118.8797221,POINT (-118.8797221 46.2495803),0.0009078857306943681,34313.0,ICE HARBOR LOCK AND DAM,LAKE SACAJAWEA,608,WA00347,0.0,,-118.8795,46.2487,"S24, 9N, 31E, WM",WALLA WALLA,SNAKE RIVER,CENWW,Federal,N,,Concrete,E,,Fish and Wildlife Pond,"Irrigation, Hydroelectric, Navigation, Recreation, Fish and Wildlife Pond",1962.0,,2790.0,,208.0,100.0,208.0,850000.0,,406500.0,406500.0,8375.0,103200.0,Y,4/7/2009,5.0,C,500.0,,2140000.0,,675.0,86.0,N,N,N,N,N,Federally Owned and Regulated,CE,CE,CE,CE,CE,CE,CE,CE,CE,WA,02\27\2013,,Doc Hastings (R),R,WA04
27,Lower Granite,LWG,9.089483241693271,0.9984649306068346,482.143,low_rt,46.660556,-117.428056,POINT (-117.428056 46.660556),0.00025034376364841516,57038.0,LOWER GRANITE LOCK AND DAM,LOWER GRANITE LAKE,10180,WA00349,1.0,,-117.4283,46.6605,"S32, 14N, 43E, WM",WHITMAN,SNAKE RIVER,CENWW,Federal,N,,Concrete,,,Navigation,"Hydroelectric, Navigation, Recreation, Fish and Wildlife Pond",1975.0,,3200.0,,228.0,100.0,228.0,850000.0,,485000.0,485000.0,8900.0,103200.0,Y,3/22/2011,5.0,C,400.0,,,,674.0,86.0,N,N,N,N,N,Federally Owned and Regulated,CE,CE,CE,CE,CE,CE,CE,CE,CE,WA,02\27\2013,,Cathy McMorris Rodgers (R),R,WA05
28,Priest Rapids,PRD,0.2675958990022443,0.9955179032438436,44.171,low_rt,46.6431876,-119.9094884,POINT (-119.9094884 46.6431876),0.004699613635184125,32731.0,PRIEST RAPIDS,,02114-01-01,WA00088,1.0,,-119.9058,46.6461,"R23E, T13N, sec. 2",GRANT,COLUMBIA RIVER,"PUD #2 OF GRANT COUNTY, WA",Public Utility,N,HARZA ENGINEERING COMPANY,,IEK,RSK,Hydroelectric,"Hydroelectric, Flood Control, Recreation",1961.0,,10103.0,90.0,187.0,78.0,187.0,1400000.0,191000.0,191000.0,191000.0,7580.0,95500.0,Y,7/18/2012,1.0,C,1152.0,T22;,3300000.0,,0.0,,N,N,N,N,N,Federal Energy Regulatory Com,,,,FERC,FERC,,,,FERC,WA,02\28\2013,,Doc Hastings (R),R,WA04
29,Rock Island,RIS,0.0904105885180732,0.9974942354782252,11.6,low_rt,47.342155,-120.094773,POINT (-120.094773 47.342155),0.019785104346453045,10898.0,ROCK ISLAND,,00943-01-01,WA00084,1.0,,-120.0917,47.3617,"T21N,R22E,S5,WM",CHELAN,COLUMBIA RIVER,"PUD #1 OF CHELAN COUNTY, WA",Public Utility,N,STONE & WEBSTER ENGINEERING CORPORATION,Gravity,HCZ,RZ,Hydroelectric,"Hydroelectric, Flood Control",1932.0,,3108.0,71.0,61.0,55.1,71.0,920000.0,131000.0,130000.0,131000.0,3320.0,89400.0,Y,4/9/2012,1.0,C,961.0,S32;,,,0.0,,N,N,N,N,N,Federal Energy Regulatory Com,,,,FERC,FERC,,,,FERC,WA,02\28\2013,,Doc Hastings (R),R,WA04
30,Rocky Reach,RRH,0.2497676019870482,0.994988709865762,39.96,low_rt,47.533333,-120.295556,POINT (-120.295556 47.533333),0.02321337168529642,34354.0,ROCKY REACH,LAKE ENTIAT,02145-01-01,WA00086,1.0,,-120.3133,47.5483,"T24N,R20E,S35,WM",DOUGLAS,COLUMBIA RIVER,"PUD #1 OF CHELAN COUNTY, WA",Public Utility,N,STONE & WEBSTER ENGINEERING CORPORATION,Gravity,HCZ,RZ,Hydroelectric,"Hydroelectric, Flood Control",1962.0,,3820.0,118.0,130.0,112.0,130.0,1200000.0,390000.0,382000.0,390000.0,9810.0,87800.0,Y,6/18/2012,1.0,C,600.0,T12;,1049000.0,,0.0,,N,N,N,N,N,Federal Energy Regulatory Com,,,,FERC,FERC,,,,FERC,WA,02\28\2013,,David G. Reichert (R),R,WA08
31,Wanapum,WAN,1.041741225249674,0.9933492458072736,167.15,low_rt,46.875213,-119.971004,POINT (-119.971004 46.875213),0.002227192178507336,40706.0,WANAPUM,WANAPUM (RES),02114-02-01,WA00085,1.0,,-119.9703,46.8731,"T16N, R23E, sec. 17",GRANT,COLUMBIA RIVER,"PUD #2 OF GRANT COUNTY, WA",Public Utility,N,HARZA ENGINEERING CORPORATION,,IEK,SK,Hydroelectric,"Hydroelectric, Flood Control, Recreation",1965.0,,8639.0,93.0,205.5,80.0,205.5,1400000.0,796000.0,590000.0,796000.0,14590.0,95000.0,Y,7/17/2012,1.0,C,832.0,T12;,5795000.0,,0.0,,N,N,N,N,N,Federal Energy Regulatory Com,,,,FERC,FERC,,,,FERC,WA,02\28\2013,,David G. Reichert (R),R,WA08
32,Wells,WEL,0.7217282486593729,0.9937335600465086,98.74,low_rt,47.9454,-119.866,POINT (-119.866 47.9454),0.012637246535536497,46321.0,WELLS,,02149-01-01,WA00098,1.0,,-119.8783,47.9483,"T28N,R24E,S6,WM",CHELAN,COLUMBIA RIVER,PUD #1 OF DOUGLAS COUNTY,Public Utility,N,BECHTEL CORPORATION,Gravity,IEK,RSK,Hydroelectric,"Irrigation, Hydroelectric, Recreation, Fish and Wildlife Pond",1968.0,1991,4300.0,160.0,160.0,144.0,160.0,1180000.0,500000.0,331000.0,500000.0,9700.0,85300.0,Y,4/9/2012,1.0,C,506.0,O11;,3500000.0,,0.0,,N,N,N,N,N,Federal Energy Regulatory Com,,,,FERC,FERC,,,,FERC,WA,02\28\2013,,David G. Reichert (R),R,WA08
33,Apalachia,Apalachia,6.986485522714988,0.95206476489818,57.6099173553719,low_rt,35.16777778,-84.29555556,POINT (-84.29555556 35.16777778),0.0022906131585222573,14153.0,APALACHIA,APALACHIA LAKE,CHERO-001,NC00181,0.0,,-84.295,35.17,,CHEROKEE,HIWASSEE RIVER,TVA,Federal,N,TVA,,HCK,RK,Hydroelectric,"Hydroelectric, Recreation",1943.0,,1308.0,150.0,150.0,122.0,150.0,164000.0,63456.0,55524.0,63456.0,1100.0,1018.0,Y,8/27/2009,5.0,C,320.0,T,237806.0,,0.0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,NC,02\27\2013,,Mark Meadows (R),R,NC11
