Dam_Name,Other_Dam_Name,State_ID,NID_ID,Num_Separate_Struct,Other_Structure_ID,Longitude,Latitude,Section,County,River,Owner_Name,Owner_Type,Private_Dam,Dam_Designer,Dam_Type,Core,Foundation,Primary_Purpose,All_Purposes,Year_Completed,Year_Modified,Dam_Length,Dam_Height,Structural_Height,Hydraulic_Height,NID_Height,Max_Discharge,Max_Storage,Normal_Storage,NID_Storage,Surface_Area,Drainage_Area,EAP,Inspection_Date,Inspection_Frequency,Spillway_Type,Spillway_Width,Outlet_Gates,Volume,Num_Locks,Length_Locks,Width_Locks,Permitting_Authority,Inspection_Authority,Enforcement_Authority,Jurisdictional_Dam,State_Reg_Dam,State_Reg_Agency,Fed_Funding,Fed_Design,Fed_Construction,Fed_Regulatory,Fed_Inspection,Fed_Operation,Fed_Owner,Fed_Other,Source_Agency,State,Submit_Date,Url_Address,Congress_Rep,Political_Party,Congress_District
UPPER HOTEL LAKE,FOREST,400534,CO00641,0,,-107.9588,39.0499,"S36 , T11S, R95W of Sixth PM",DELTA,WARD CREEK,SURFACE CREEK DITCH & RESERVOIR CO.,Private,Y,,Earth,HEZ,RSZ,Irrigation,"Irrigation, Recreation",1886,,165,15,15,15,15,475,190,109,190,14,0.09,NR,40028,6,N,14,U;S,4522,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
UPPER CHURCH LAKES,UPPER CHURCH RESERVOIR,CO00000826,CO00255,0,,-105.1026,39.9049,"S03,T.02S,R.69W, 6th PM",JEFFERSON,BIG DRY CREEK,MANDALAY IRR-MARCUS CH,Local Government,N,USDA NRCS,Earth,,,Irrigation,Irrigation,1881,1957,1610,23,24,23,24,4472,341,185,341,21,0.219,Y,38478,0,U,10,,NA,NA,0,NA,N,N,N,N,N,,,USDA NRCS,,,,,,,USDA NRCS,CO,03\08\2013,NA,Ed Perlmutter (D),D,CO07
TWIN LAKE #1,,400526,CO00634,0,,-107.8422,39.0649,"S25 , T11S, R94W of Sixth PM",DELTA,SURFACE CREEK-TR,TWIN LAKE RESERVOIR PARTNERS,Private,Y,,Earth,HEK,SK,Irrigation,"Irrigation, Recreation",1889,,240,21,21,21,21,45,110,82,110,14,0.08,NR,39309,6,N,6,U;V,12196,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
PLEASANT VALLEY,TERRY LAKE,50234,CO00182,0,,-105.1229,40.2234,"S16 , T3N, R69W of Sixth PM",BOULDER,ST. VRAIN CREEK-OS,"PLEASANT VALLEY RESERVOIR, FISH & DITCH CO.",Private,N,,Earth,,,Irrigation,"Irrigation, Water Supply, Recreation",1868,1988: C-526B,2900,19,19,19,19,2114,4562,3076,4562,342,3.1,Y,41114,1,U,256,"2-24"" slide",18823,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Cory Gardner (R),R,CO04
LOWER SALMON LAKE,,9000.324,CA10228,0,,-120.636,39.651,"S.28,T.21N,R.12E",SIERRA,TR SALMON CREEK,FOREST SERVICE,Federal,N,,Earth,,,Water Supply,Water Supply,1885,,360,16,NA,NA,16,NA,NA,270,270,NA,NA,NR,,1,U,0,,NA,NA,0,NA,N,N,N,N,N,N/A,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
ARCH SLOUGH,MATT ARCH,400103,CO00334,0,,-107.9755,39.0449,"S2 , T12S, R95W of Sixth PM",DELTA,WARD CREEK-TR,GRAND MESA WATER CONSERVANCY DISTRICT,Public Utility,Y,,Earth,HEK,SK,Irrigation,Irrigation,1888,,330,15,15,15,15,121,108,66,108,12,0.08,NR,39337,6,N,7,U;S,9019,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
WARD #1,,90201,CO00338,0,,-105.0666,39.6761,"S25 , T4S, R69W of Sixth PM",JEFFERSON,SANDERSON GULCH,"JOHN C. MITCHELL, III",Private,N,,Earth,,,Irrigation,Irrigation,1888,,1550,13,13,13,13,27,730,520,730,53,0.31,NR,38539,0,U,3,,42484,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Ed Perlmutter (D),D,CO07
LOUISVILLE NO. 1,,60134,CO00235,0,,-105.1546,39.9909,"S6 , T1S, R69W of Sixth PM",BOULDER,BULLHEAD GULCH-TR,CITY OF LOUISVILLE,Local Government,N,UNKNOWN; ROCKY MOUNTAIN CONSULTANTS; CARTER & BURGESS,Earth,HEK,RSK,Water Supply,Water Supply,1888,1989S; 2001SH,2500,13,20,20,20,595,250,206,250,17,0.08,Y,41081,2,U,50,2V,7557,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Jared Polis (D),D,CO02
MANITOU PARK,,80411,CO00371,0,,-105.0988,39.0899,"S15 , T11S, R69W of Sixth PM",TELLER,TROUT CREEK,U.S. FOREST SERVICE,Federal,N,,Earth,,,Recreation,Recreation,1886,,915,27,39,27,39,6000,292,93,292,19,63,NR,35964,6,N,70,,67101,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Doug Lamborn (R),R,CO05
ALEXANDER LAKE,RESERVOIR #8,400102,CO00331,0,,-107.9755,39.0383,"S2 , T12S, R95W of Sixth PM",DELTA,WARD CREEK,SURFACE CREEK DITCH & RESERVOIR CO.,Private,Y,,Earth,HEZ,SZ,Irrigation,"Irrigation, Recreation",1886,,138,11,11,11,11,260,303,157,303,24,0.06,NR,32687,0,N,10,U;S,2199,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
SAWMILL,,360109,CO00665,0,,-106.0588,39.4733,"S1 , T7S, R78W of Sixth PM",SUMMIT,SAWMILL GULCH-OS,TOWN OF BRECKENRIDGE,Local Government,N,UNKNOWN; STANTEC,Earth,HEZ,RSZ,Recreation,Recreation,1890,2006SMH,180,17,17,17,17,300,40,27,40,4,0.01,Y,40742,2,U,10,S1,5919,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Jared Polis (D),D,CO02
MIDDLE LINDSEY,,02310-05-01,CA00367,1,,-120.6332,39.4156,"S.21,T.18N,R.12E",NEVADA,LINDSEY CREEK,PACIFIC GAS AND ELECTRIC COMPANY,Private,N,,Earth,,,Hydroelectric,Hydroelectric,1870,,335,8,8.5,6,8.5,450,110,120,120,23.9,0.4,NR,40371,1,U,37,,300,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,FERC,FERC,,,,FERC,CA,02\28\2013,NA,Doug LaMalfa (R),R,CA01
"YOSEMITE, LAKE",,58.003,CA00241,0,,-120.4392,37.3754,"S.33,T.6S,R.14E",MERCED,TR MERCED RV,MERCED IRRIGATION DISTRICT,Public Utility,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1888,,4750,53,NA,49,53,NA,10323,8101,10323,500,4.95,NR,40963,1,C,0,,348392,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Jim Costa (D),D,CA16
WHITE ROCK LAKE,,02310-17-01,CA00373,1,,-120.3883,39.4176,"S.14,15,22,T.18N,R.14E",NEVADA,WHITE ROCK CREEK,PACIFIC GAS AND ELECTRIC COMPANY,Private,N,,Earth,,,Hydroelectric,Hydroelectric,1855,,274,13,13.5,9.5,13.5,350,570,850,850,90,1.2,NR,40407,1,U,40,,3000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,FERC,FERC,,,,FERC,CA,02\28\2013,NA,Doug LaMalfa (R),R,CA01
MILL POND,,2381,CA01139,0,,-123.8123,39.4413,"S.12,T.18N,R.18W",MENDOCINO,TR PACIFIC OCEAN,GEORGIA-PACIFIC CORPORATION,Private,N,,Earth,,S,Water Supply,Water Supply,1885,,200,33,NA,30.6,33,580,128,72,128,9,0.45,NR,40890,1,C,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Jared Huffman (D),D,CA02
KANGAROO LAKE,,505550001,CA10217,0,,-122.633,41.333,"S.14,T.40N,R.7W",SISKIYOU,RAIL CREEK,FOREST SERVICE,Federal,N,,Rockfill,,,Water Supply,Water Supply,1876,,69,12,NA,NA,12,NA,168,168,168,NA,NA,NR,,1,U,0,,500,NA,0,NA,N,N,N,N,N,,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
LOWER CRYSTAL SPRINGS,CRYSTAL SPRINGS RES,10.006,CA00127,0,,-122.3615,37.5282,"S.1,T.5S,R.5W",SAN MATEO,SAN MATEO CREEK,CITY & COUNTY OF SAN FRANCISCO,Local Government,N,,Gravity,,R,Water Supply,Water Supply,1888,,600,149,NA,149,149,23498,72840,57910,72840,1323,28.71,NR,40933,1,C,0,,157200,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Jackie Speier (D),D,CA14
FULLER LAKE,,02310-11-01,CA00351,1,,-120.6505,39.3452,"S.8,17,T.17N,R.12E",NEVADA,JOHN CREEK - TR,PACIFIC GAS AND ELECTRIC COMPANY,Private,N,,Earth,,,Hydroelectric,Hydroelectric,1856,,410,39,39,35.7,39,350,1127,1100,1127,68.9,0.6,NR,40771,1,U,15,,9500,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,FERC,FERC,,,,FERC,CA,02\28\2013,NA,Doug LaMalfa (R),R,CA01
SILVER LAKE,,00184-03-01,CA00377,1,,-120.1227,38.6683,"S.32,T.10N,R.17E",AMADOR,SILVER FORK AMERICAN RIVER,EL DORADO IRRIGATION DISTRICT,Private,N,,,,,Hydroelectric,"Irrigation, Hydroelectric, Recreation",1876,,280,32,30,28,32,4750,8640,8590,8640,525,15.2,Y,41128,1,C,41,T2;,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,FERC,FERC,,,,FERC,CA,02\28\2013,NA,Tom McClintock (R),R,CA04
EMERALD LAKE 1 LOWER,LOWER EMERALD LAKE,612,CA00668,0,,-122.2625,37.4672,"S.26,T.5S,R.4W",SAN MATEO,TR SAN FRAN BAY,EMERALD LAKE COUNTRY CLUB,Private,N,,Earth,,R,Recreation,"Water Supply, Recreation",1885,,280,57,NA,52,57,126,65,45,65,4,0.25,NR,40912,1,C,0,,19200,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Anna G. Eshoo (D),D,CA18
LOWER HOWELL,,622.002,CA00677,0,,-122.0145,37.1893,"S.31,T.8S,R.1W",SANTA CLARA,RUNDELL CREEK,SAN JOSE WATER AGENCY,Public Utility,N,,Earth,,S,Water Supply,Water Supply,1877,,475,39,NA,35.1,39,99,183,153,183,8,0.16,NR,40763,1,U,0,,29600,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Anna G. Eshoo (D),D,CA18
CANNON RANCH,CANNON,345,CA00551,0,,-121.5341,39.6118,"S.4,T.20N,R.4E",BUTTE,TR OREGON GULCH,RONALD J. & LUCY R. BOEGER,Private,N,,Earth,,S,Water Supply,Water Supply,1870,,310,18,NA,13,18,770,290,176,290,33,0.52,NR,40921,1,U,0,,3700,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
"RALPHINE, LAKE",,1050,CA00882,0,,-122.67,38.4548,"S.18,T.7N,R.7W",SONOMA,TR SANTA ROSA CR,CITY OF SANTA ROSA,Local Government,N,,Earth,,R,Recreation,"Water Supply, Recreation",1882,,700,35,NA,31,35,147,465,387,465,19,0.15,NR,40926,1,U,0,,70000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Mike Thompson (D),D,CA05
CROCKER,,2014,CA00672,0,,-122.3737,37.5644,"S.23,T.4S,R.5W",SAN MATEO,SANCHEZ CREEK,TOWN OF HILLSBOROUGH,Local Government,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1890,,200,45,NA,35.79,45,345,29,22,29,2,0.26,NR,40400,1,U,0,,11000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Jackie Speier (D),D,CA14
UPPER HOWELL,HOWELL RESERVOIR,622.003,CA00678,0,,-122.016,37.1895,"S.31,T.8S,R.1W",SANTA CLARA,RUNDELL CREEK,SAN JOSE WATER AGENCY,Public Utility,N,,Earth,,S,Water Supply,Water Supply,1878,,640,36,NA,33,36,69,305,243,305,13,0.13,NR,40763,1,C,0,,31460,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Anna G. Eshoo (D),D,CA18
AGATE NO 1,BALL RESERVOIR,10105,CO00002,0,,-103.9638,39.4722,"S2 , T7S, R59W of Sixth PM",ELBERT,EAST BIJOU CREEK-TR,"MCCARTY, LARRY",Private,N,UNKNOWN,Earth,HEZ,SZ,Irrigation,Irrigation,1890,1925S,4100,18,18,18,18,5528,3400,2800,3400,286,25,NR,39940,6,N,150,S2,18000,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Cory Gardner (R),R,CO04
LOWER TWIN LAKE,TWIN LAKES,531.002,CA00644,0,,-119.3261,38.1679,"S.33,T.4N,R.24E",MONO,ROBINSON CREEK,CENTENNIAL LIVESTOCK,Private,N,,Rockfill,,S,Irrigation,"Irrigation, Water Supply",1888,,240,16,NA,11.69,16,673,5900,4011,5900,399,39.1,NR,40834,1,U,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Paul Cook (R),R,CA08
EMERY,,491,CA00618,0,,-120.5037,38.2483,"S.35,T.5N,R.13E",CALAVERAS,MCKINNEYS CREEK,M-24 RANCH ASSOCIATION,Private,N,,Earth,,R,Water Supply,Water Supply,1850,,505,53,NA,47,53,955,960,630,960,30,0.62,NR,40233,1,U,0,,25000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Tom McClintock (R),R,CA04
SWEETWATER MAIN,,2020,CA00775,0,,-117.0084,32.6921,"S.17,T.17S,R.1W",SAN DIEGO,SWEETWATER RV,SWEETWATER AUTHORITY,Public Utility,N,,Gravity,,R,Irrigation,"Irrigation, Water Supply",1888,,700,112,NA,99,112,65631,41846,27700,41846,936,182,NR,40854,1,C,0,,53773,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Susan A. Davis (D),D,CA53
SEQUOIA LAKE,,693,CA00709,0,,-118.9952,36.7345,"S.1,T.14S,R.27E",FRESNO,MILL FLAT CR,Y M C A INC,Private,N,,Earth,,R,Recreation,"Water Supply, Recreation",1888,,225,51,NA,41,51,4850,2370,1370,2370,200,4,NR,41024,1,U,0,,12000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Tom McClintock (R),R,CA04
SALT SPRINGS VALLEY,,496,CA00620,0,,-120.7642,38.0304,"S.16,T.2N,R.11E",CALAVERAS,ROCK CREEK,ROCK CREEK WATER DISTRICT,Public Utility,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1882,,2150,47,NA,42,47,5337,16250,10900,16250,920,20.03,NR,40876,1,U,0,,148685,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Tom McClintock (R),R,CA04
SEARSVILLE,,614,CA00669,0,,-122.2375,37.4074,"S.18,T.6S,R.3W",SAN MATEO,CORTE MADERA CR,STANFORD UNIV TRUSTEE BOARD,Private,N,,Gravity,,R,Irrigation,"Irrigation, Water Supply",1890,,260,68,NA,66.4,68,8170,952,952,952,90,14.8,NR,41103,1,C,0,,16000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Anna G. Eshoo (D),D,CA18
EL CASCO,,822,CA00767,0,,-117.1088,33.9769,"S.20,T.2S,R.2W",RIVERSIDE,SAN TIMOTEO CREEK,RIVERSIDE LAND CONSERVANCY,Private,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1879,0,1200,19,19,16,19,834,188,143,188,15,0.09,NR,40953,1,U,0,,11500,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,USDA NRCS,,,,,,,CA,CA,03\01\2013,NA,Mark Takano (D),D,CA41
MILL CREEK,,630,CA00688,0,,-122.2124,37.1164,"S.29,T.9S,R.3W",SANTA CRUZ,MILL CREEK,"LOCKHEED MISSILES & SPACE COMPANY, INC.",Private,N,,Earth,,S,Water Supply,Water Supply,1889,,250,76,NA,62.5,76,1330,413,223,413,12,0.94,NR,40934,1,C,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Anna G. Eshoo (D),D,CA18
"ELEANOR, LAKE",,1763,CA00737,0,,-118.8516,34.1355,"S.27,T.1N,R.19W",VENTURA,ELEANOR CREEK,CONEJO RECREATION AND PARK DISTRICT,Public Utility,N,,Arch,,R,Recreation,"Water Supply, Recreation",1881,,140,37,NA,36,37,NA,113,104,113,9,1.2,NR,40646,1,U,0,,600,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Julia Brownley (D),D,CA26
BUENA VISTA,,732,CA00717,0,,-119.2354,35.1886,"S.32,T.31S,R.25E",KERN,OFFSTREAM,J G BOSWELL & CO,Private,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1890,,33000,20,NA,15,20,NA,205000,205000,205000,24000,373,NR,40941,1,U,0,,695700,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Kevin McCarthy (R),R,CA23
MAMMOTH RESERVOIR,,1030.006,CA00861,0,,-121.139,38.8185,"S.12,T.11N,R.7E",PLACER,OFFSTREAM,PLACER COUNTY WATER AGENCY,Local Government,N,,Earth,,S,Irrigation,Irrigation,1851,,2360,23,NA,19.39,23,96,154,103,154,11,0.017,NR,40716,1,U,0,,43036,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Tom McClintock (R),R,CA04
PACIFIC GROVE,,642.003,CA00691,0,,-121.9157,36.6121,"S.24,T.15S,R.1W",MONTEREY,TR PACIFIC OCEAN,CALIF-AMERICAN WATER CO,Private,N,,Earth,,S,Other,Other,1882,,750,32,NA,30.8,32,28,81,76,81,4,0.16,NR,41024,1,C,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Sam Farr (D),D,CA20
JAMES MONTGOMERY,,1220,CA00932,0,,-122.4758,40.5187,"S.19,T.31N,R.5W",SHASTA,FLAT CREEK,"GEORGE DOMB, M.D.",Private,N,,Earth,,R,Irrigation,"Irrigation, Water Supply",1869,,240,24,NA,19,24,410,125,65,125,11,0.5,NR,40554,1,U,0,,7000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
SPENSER LAKE,,2014.002,CA00673,0,,-122.3789,37.5704,"S.23,T.4S,R.5W",SAN MATEO,TR S FRANCISCO BAY,TOWN OF HILLSBOROUGH,Local Government,N,,Earth,,R,Flood Control,Flood Control,1876,,400,87,NA,81.7,87,163,98,NA,98,4,0.2,NR,40990,1,U,0,,46960,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Jackie Speier (D),D,CA14
PORTER ESTATE,,775,CA00741,0,,-118.5649,34.2638,"S.16,T.2N,R.16W",LOS ANGELES,TR LOS ANGELES R,PORTER RANCH DEVELOPMENT CO,Private,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1888,,310,46,NA,37.7,46,3100,240,135,240,16,0.86,NR,40877,1,U,0,,21000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Brad Sherman (D),D,CA30
SIERRA VISTA,,681,CA00705,0,,-120.2765,37.1522,"S.13,T.9S,R.15E",MADERA,CHOWCHILLA RV,"OK PROPERTY CO,INC",Private,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1872,,350,12,NA,8.5,12,NA,90,90,90,31,274.5,NR,40331,1,C,0,,3350,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Jim Costa (D),D,CA16
CANYON,WATER CANYON,AZ00097,AZ00097,0,,-109.3363,34.005,"S13,T7N,R28E",APACHE,WATER CANYON CREEK,LYNDA SLADE FOWLER & CHELSEY FOWLER,Private,Y,SCS,Earth,X,RS,Irrigation,Irrigation,1886,,300,17,NA,17,17,494,130,65,130,9.4,0.22,NR,40738,5,U,32,U,180000,NA,0,NA,Y,Y,Y,Y,Y,Arizona Department of Water Resources,,USDA NRCS,,,,,,,AZ,AZ,02\04\2013,NA,Ann Kirkpatrick (D),D,AZ01
JARVIS,,1.26,AZ00098,0,,-109.2083,33.9833,"S20,T7N,R30E",APACHE,TR-NUTRIOSO CREEK,MERLYN ROGERS,Private,Y,,Earth,X,U,Irrigation,Irrigation,1886,,500,7,NA,7,7,NA,NA,136,136,9,NA,NR,40738,5,U,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Arizona Department of Water Resources,,,,,,,,,AZ,AZ,02\04\2013,NA,Ann Kirkpatrick (D),D,AZ01
